DataSeries,2026Jun,2026May,2026Apr,2026Mar,2026Feb,2026Jan,2025Dec,2025Nov,2025Oct,2025Sep,2025Aug,2025Jul,2025Jun,2025May,2025Apr,2025Mar,2025Feb,2025Jan,2024Dec,2024Nov,2024Oct,2024Sep,2024Aug,2024Jul,2024Jun,2024May,2024Apr,2024Mar,2024Feb,2024Jan,2023Dec,2023Nov,2023Oct,2023Sep,2023Aug,2023Jul,2023Jun,2023May,2023Apr,2023Mar,2023Feb,2023Jan,2022Dec,2022Nov,2022Oct,2022Sep,2022Aug,2022Jul,2022Jun,2022May,2022Apr,2022Mar,2022Feb,2022Jan,2021Dec,2021Nov,2021Oct,2021Sep,2021Aug,2021Jul,2021Jun,2021May,2021Apr,2021Mar,2021Feb,2021Jan,2020Dec,2020Nov,2020Oct,2020Sep,2020Aug,2020Jul,2020Jun,2020May,2020Apr,2020Mar,2020Feb,2020Jan,2019Dec,2019Nov,2019Oct,2019Sep,2019Aug,2019Jul,2019Jun,2019May,2019Apr,2019Mar,2019Feb,2019Jan,2018Dec,2018Nov,2018Oct,2018Sep,2018Aug,2018Jul,2018Jun,2018May,2018Apr,2018Mar,2018Feb,2018Jan,2017Dec,2017Nov,2017Oct,2017Sep,2017Aug,2017Jul,2017Jun,2017May,2017Apr,2017Mar,2017Feb,2017Jan,2016Dec,2016Nov,2016Oct,2016Sep,2016Aug,2016Jul,2016Jun,2016May,2016Apr,2016Mar,2016Feb,2016Jan,2015Dec,2015Nov,2015Oct,2015Sep,2015Aug,2015Jul,2015Jun,2015May,2015Apr,2015Mar,2015Feb,2015Jan,2014Dec,2014Nov,2014Oct,2014Sep,2014Aug,2014Jul,2014Jun,2014May,2014Apr,2014Mar,2014Feb,2014Jan,2013Dec,2013Nov,2013Oct,2013Sep,2013Aug,2013Jul,2013Jun,2013May,2013Apr,2013Mar,2013Feb,2013Jan,2012Dec,2012Nov,2012Oct,2012Sep,2012Aug,2012Jul,2012Jun,2012May,2012Apr,2012Mar,2012Feb,2012Jan,2011Dec,2011Nov,2011Oct,2011Sep,2011Aug,2011Jul,2011Jun,2011May,2011Apr,2011Mar,2011Feb,2011Jan,2010Dec,2010Nov,2010Oct,2010Sep,2010Aug,2010Jul,2010Jun,2010May,2010Apr,2010Mar,2010Feb,2010Jan,2009Dec,2009Nov,2009Oct,2009Sep,2009Aug,2009Jul,2009Jun,2009May,2009Apr,2009Mar,2009Feb,2009Jan,2008Dec,2008Nov,2008Oct,2008Sep,2008Aug,2008Jul,2008Jun,2008May,2008Apr,2008Mar,2008Feb,2008Jan
    USA,57073,54645,68150,65414,60804,61535,61832,61416,59711,55885,57812,59010,58584,51636,61603,61343,60652,65230,55893,59656,59818,59620,58869,56687,56932,58636,56822,58333,58482,54485,56822,58107,52231,58034,55600,56145,54366,54739,51336,49388,49516,46031,46130,45566,43302,42816,39465,33773,28350,21408,13709,4993,3579,2043,3184,1898,989,811,947,591,188,280,636,386,390,430,441,417,479,447,458,312,118,38,15,9410,36010,63886,65600,63745,61778,62789,63023,62244,60977,58371,59538,58427,54704,57780,55971,56457,53887,54287,52964,53585,52453,51789,54993,54204,54917,47749,48310,52685,46574,47303,46606,47408,47974,46188,44116,45609,46244,45844,45931,45330,45736,42537,42432,42493,42143,43219,42713,40653,41163,42557,42112,42018,44316,41577,42855,41031,41066,41351,39243,41982,42268,40112,40591,40483,39846,41631,41187,39508,38031,39056,39684,42991,41424,40740,39887,40590,40462,42258,41880,40662,41913,40484,42003,40475,40538,41516,42551,41173,40188,40050,39206,39207,39689,40173,37740,39693,40854,37546,35736,37496,38155,37486,35858,37600,36331,37186,36469,37909,34025,37136,33873,34828,37343,35284,35356,35306,36017,35034,35821,32803,33481,33040,32715,34659,32999,31774,33149,31699,30293,29288,30487,28517,27187,28723,30890,30647,32201,31564,32623,33170,32985,33677,34045,34942,34659,35225
    Europe,164494,153304,158557,163045,179239,175391,182040,173454,179897,165342,184405,187951,171846,172347,174051,156352,168935,170837,171956,173474,167431,162772,165921,161916,158765,161895,155037,159746,160720,160973,153298,149430,146775,149749,142465,140617,139242,146888,131443,130766,123959,114703,115371,114924,114170,109839,92046,81849,75399,55150,32049,11787,8581,5963,10496,5957,3809,2484,1282,870,442,659,986,874,925,1389,1320,1001,1182,1104,911,848,415,122,45,54436,144328,191973,201188,186359,180079,176858,175291,173081,170588,166060,176190,172029,175534,182768,179916,173611,176729,178849,177457,176932,170553,168707,163594,171313,167046,166263,152111,162372,159954,158009,154687,154057,153948,149301,159396,152658,155100,147011,150099,146816,156165,143225,145674,141582,132479,142575,141816,146528,143383,146214,145452,146170,145816,138772,141745,139852,135427,134783,128608,128301,127541,130495,134426,131849,134258,140949,135773,127690,132389,135307,141864,133096,136659,135051,134701,132844,134351,134422,136078,134313,138218,135203,125440,134783,127847,129472,127397,128489,128018,128772,123893,126259,126434,120420,126783,131348,131777,130972,126520,124392,118798,120852,115661,117652,114102,114008,122413,111534,107933,111705,114689,123034,113893,109797,115824,112145,115839,118892,115660,114665,112315,111179,109469,114417,115536,113332,112709,111660,110978,107164,109099,102793,100941,104706,114696,108411,109897,111009,109067,110213,110508,112013,108385,111077,106666,108345
    United Kingdom,44412,42872,43701,43929,46237,47535,49061,50290,50873,41824,51833,51757,48232,50636,51948,47095,46833,48399,47466,49538,47088,45451,46272,45991,45298,45438,43928,54608,52853,50699,48471,44024,38559,40433,41149,40813,37605,42645,38842,37482,35419,32470,34229,34116,32010,30932,27352,25302,22804,18046,10135,4091,2908,2026,3774,2181,1015,399,365,332,152,132,127,123,113,95,299,276,215,257,238,318,117,25,17,15235,38181,53164,56312,49846,50892,50731,50254,50006,50041,50357,51017,49108,48755,51321,48241,50055,50325,54667,50259,50480,47549,48825,49217,49042,46759,44723,44134,46028,43509,44093,42545,42918,43162,43037,43245,43363,43670,40361,41163,40026,45334,38325,42291,41459,37559,39221,41141,40809,39233,42267,40781,41904,42009,39472,40283,40942,38881,39565,36355,36765,39710,39348,38720,37262,37768,38214,38078,36153,37820,38463,40477,36936,36189,37232,38616,38130,36953,39091,39943,40495,43029,38046,36122,38793,36917,38077,37521,37592,38329,37719,35353,36183,38089,36288,36305,38493,38909,35583,35914,36614,36334,37363,36522,35981,36241,38188,42695,36540,34058,36944,38076,39973,37349,35662,36795,37525,38203,39507,39537,39383,39340,39356,37614,40099,40387,40129,39483,40647,39512,39844,39931,38840,38313,36266,40975,40036,39770,40521,40756,39389,41118,40761,40199,45057,41580,40895
    France,15131,14518,15884,16308,15652,16278,15776,15457,16270,15214,17919,18702,14917,15639,15602,15419,16973,15680,16069,16484,16282,15852,15267,15992,15612,16081,16739,14470,15614,15527,14377,14277,14347,14415,14000,14025,13672,14534,13193,13088,12629,11588,11954,12407,11776,10944,9591,8325,7766,5484,3714,1745,1643,1229,1627,928,470,367,190,77,37,91,171,143,192,444,222,140,236,213,141,72,30,2,5,5272,17292,17940,18037,17463,17992,17535,17156,17593,17446,16507,17218,18403,18307,19311,16685,18165,16957,16341,16822,17605,16041,17415,17695,16971,16782,16966,15026,15835,14906,14435,14379,14717,14491,14243,14846,14230,15091,13434,14557,13996,15166,14215,14461,13746,13369,13493,15827,13675,14740,13331,13781,13594,13829,12509,13584,14078,13224,13270,12575,12167,12319,12416,12523,13027,12838,13024,12702,12138,13500,13529,13128,14813,13114,13023,13361,12459,13000,13083,13761,13206,13341,13982,12904,15031,11925,13726,13268,13624,12035,15468,13369,13243,13024,12206,13968,13179,13998,11601,13388,11887,12035,12834,11432,12026,10961,11282,11337,11385,10506,11590,11683,12342,10921,10293,10469,10211,11261,11537,10778,10440,10498,10605,10346,10721,10973,10344,10730,10149,10135,9646,9406,9584,8800,8733,9480,9081,9052,9490,9162,9587,9263,9425,9534,8938,8822,9487
    Germany,25961,25577,25948,29263,35195,25139,31536,28023,29807,29218,32824,29630,28912,30244,30576,27224,29549,29471,28911,29265,28871,26955,28307,26665,25085,28506,28049,28385,29365,29669,23185,29709,26812,27824,25603,26108,26420,26984,24612,25081,23019,21144,18478,20304,19581,19379,17854,15042,15316,8795,5500,1742,1308,894,1417,1182,1061,826,148,182,72,75,117,97,117,144,150,124,127,84,142,90,33,10,2,10662,29899,31463,29098,39714,29780,29434,28984,29261,30607,27073,34206,32510,32776,34202,33162,30758,30121,31238,31173,31755,30672,29438,27197,26460,28816,28571,24336,29199,28959,28184,27410,27275,28846,25407,31135,30788,30395,28867,29953,28866,28398,25686,26129,25128,24118,25638,21865,28212,29893,30576,30334,28269,25600,25084,26511,24215,23481,23101,20494,21642,20323,19834,21335,21504,22508,24502,24086,21394,22108,21693,22372,21118,21108,21247,20078,20915,22105,22838,21838,22348,21620,21929,18471,21655,19813,19559,20966,19507,20754,21131,20140,21209,20299,19719,19101,21088,23175,24679,20724,21115,18512,18630,18143,18302,18131,17044,17880,16906,17368,17799,17437,20345,17490,17115,17412,16801,17242,18580,17542,17416,15908,16551,16135,18403,16288,15717,15730,15205,14795,14198,15659,14162,13259,14338,15014,14871,15358,14811,14834,15258,15337,14668,14019,13601,14782,13699
    Italy,8816,6167,6422,7441,9671,8780,9297,8745,8032,8321,8491,8624,8280,8562,8573,7619,7495,7417,7276,7633,8431,7724,8162,7250,8800,7085,7135,6902,6775,6078,6105,5739,5362,5890,6387,6568,5977,6409,6221,6012,5701,4204,3626,4624,5001,4407,3399,3193,2782,2126,1362,523,406,180,364,288,132,64,22,34,13,25,80,75,80,149,62,46,97,41,14,49,13,3,1,1265,7241,8921,10806,8470,8317,7982,8323,8291,7470,7879,8203,7473,10481,8418,8680,8043,8559,8600,8690,8283,8610,8392,8110,8805,9301,8207,5444,8132,7236,7528,7341,7319,6519,6614,6427,6016,5671,6020,6383,6310,6740,6476,6218,6390,6602,6372,6586,5265,5951,6008,5450,5796,6104,5836,6245,5769,5857,5841,5648,5501,5042,5456,5846,5856,5307,5665,5385,5566,5368,5459,5598,5947,5807,5231,5320,5279,5685,5428,5784,5600,6144,6270,4780,5197,5018,5648,5320,5450,5262,5730,5462,5667,5244,4836,5770,5569,5779,5170,5113,4776,4794,4351,4129,4307,4363,4434,4239,4645,4219,4432,4421,4581,4045,4264,4326,4350,4273,4217,4337,3633,4741,4129,3902,3627,4402,4105,4387,3839,3963,3896,3510,3810,3382,3463,3832,3606,3533,3713,3318,4193,3161,3357,4356,3360,3471,3292
    Netherlands,7826,7705,8437,8809,8146,8517,8367,8184,8212,7235,8407,8758,7765,7901,8177,7757,8086,8034,7786,8091,7842,7375,8194,8196,7817,8277,7949,7907,7832,8051,7819,7890,7852,8262,7332,7355,7614,7276,7021,7931,7716,6726,6470,6463,7013,6497,5286,4891,4748,3724,2596,1061,794,494,816,471,225,112,35,24,27,41,85,65,110,109,101,82,83,40,27,32,14,0,1,3188,7429,8087,8068,8538,8124,8464,8353,8229,8036,7778,8186,8947,8169,8227,7904,7946,8326,8283,8362,8147,8497,8305,8436,8160,8190,7580,7347,7562,7493,7342,7120,7412,7240,7021,7068,6873,7164,7001,6999,6931,6855,6597,6843,6728,6615,7495,6878,6557,6764,6877,6925,6796,6775,6356,6029,6676,6533,6899,6584,6852,6603,6126,6996,6644,6208,6696,6582,5759,6963,7016,7300,7501,7366,7290,6722,6805,6840,6952,6714,6836,7751,7104,6693,6968,7055,6846,6710,6906,6887,6730,6601,7030,6979,6456,6447,6703,7387,6836,6761,6762,6978,6905,7064,6962,6499,6657,6887,6730,6329,6551,6411,6237,6097,6241,6266,6152,6414,7231,6497,6496,6474,6472,6764,6485,6615,6577,7183,7051,6032,6042,6000,5716,5815,5582,6024,6050,6080,5918,5894,5869,6370,6847,6889,5930,5985,5831
    Switzerland,7586,6771,8128,7326,8938,7872,8343,8031,8257,7740,7810,8647,8026,7843,8191,7112,7623,7966,7863,7538,7524,7699,7560,7605,7187,7492,7238,7517,7460,7178,7000,6857,6654,6729,6476,6361,6370,6348,6537,5726,5930,4831,4642,5071,5134,4657,4394,3590,3474,2575,1694,690,545,354,526,231,73,75,109,33,19,28,44,51,73,48,64,48,71,48,50,37,20,4,0,2201,6942,8098,8903,8348,7942,7725,7782,7607,8398,7953,8923,7820,8000,8604,8683,8051,8304,8263,8524,8430,8318,8654,8530,9096,8913,8473,8376,8660,8933,8586,8511,8722,8579,8449,10366,7704,9127,8397,8435,8441,9483,8280,8549,8440,7774,8349,8133,8299,8580,8344,8341,9137,8343,8147,8315,8522,8326,8386,8244,8314,8024,8694,8597,8574,8651,8913,8970,8502,8508,8326,8843,8368,8673,8526,8918,8042,8229,8596,7799,8401,8726,8183,6547,7316,6910,7313,7013,7005,6895,6888,7055,6949,6914,6629,6745,7450,7533,6722,6870,7057,6820,6672,6351,6337,6551,6363,6616,6504,6404,6452,6128,6319,6287,5809,6462,6084,6226,7523,6038,5989,6003,5775,5569,5368,5608,5264,5078,5431,5299,5066,5409,5150,5390,5165,6144,5713,5313,5589,5660,5372,5462,5771,5333,5177,4793,4719
    Oceania,119364,112986,127275,122823,115171,120862,124561,128407,132206,114899,117380,125255,116207,122687,130082,112224,122783,120072,120784,115996,117287,116346,114770,111830,109533,109862,109286,123019,118645,106853,112296,110760,103536,109040,108706,102976,110855,109380,104014,100784,110821,86294,88188,87102,84245,82918,73639,68516,56749,41358,28396,9756,6537,2849,4910,1869,326,321,412,322,256,347,281,378,389,473,869,543,284,195,201,140,68,21,13,24929,90690,110259,116458,115261,108952,112143,110636,109719,107753,113092,116849,96389,108407,104361,103729,97973,106267,109437,107365,108113,110118,107532,105681,110130,101902,98807,103377,108154,101817,102489,96282,102951,102699,98801,102463,107536,113223,99548,99501,97256,95484,94638,100152,100332,94321,88075,100900,97820,95729,100019,100137,101808,106104,99856,104531,94267,99264,98146,91211,90927,100379,100221,97631,95518,94557,99301,102496,100966,95882,102247,108703,94950,106097,108501,106774,102522,103849,106855,98952,106435,103848,107492,104077,110899,104919,105333,104296,108173,107062,104068,99024,99674,104847,93348,93734,92216,98308,86822,87539,91910,89886,89238,91126,92650,96004,95366,99294,85728,87134,88778,86043,82417,80655,84371,83225,82619,82284,79375,79705,82045,83355,83538,83229,88026,84659,78117,80648,76591,72687,73550,74901,70749,77355,76109,79966,78379,80879,78672,79754,78914,81020,82323,74787,81327,80733,80686
    Australia,104411,97287,108370,104079,101099,105541,108192,111564,115351,97312,101980,109668,99095,104475,110016,98045,102991,105584,103835,100298,100662,100092,99137,95767,95175,91641,91167,107993,97515,92436,95055,97053,87911,93724,95718,89797,96890,91410,87690,89273,90931,75323,75150,77105,73720,74324,67137,62780,53224,35991,25674,9460,5763,2779,4648,1847,262,248,353,265,203,288,226,322,309,428,746,503,220,138,194,119,66,19,7,21992,72803,96896,99535,103237,95436,97478,97622,95934,92465,94898,99387,84921,89485,91744,89198,86670,93373,96461,95381,95119,95796,93026,92099,94847,89186,86539,90296,95089,89213,90497,84672,90893,90090,85655,88406,94492,97982,87620,87420,85315,83531,82982,87970,88829,82720,75877,89269,86826,84775,88633,88928,89263,93740,87681,92135,82836,87495,86601,80946,74822,92844,87970,86439,85332,84459,88482,91577,90261,84923,90427,97976,83421,93861,96724,94919,90969,92416,95456,87977,95089,93227,96661,93447,98584,94529,93103,92317,96745,94989,91869,88077,88977,93002,82606,82073,81572,86168,74738,75665,80007,79401,79045,79282,79920,83061,81871,86057,76592,77291,79390,77088,72821,71527,74582,74227,74278,72471,71099,71211,72907,75390,73591,74312,77731,75269,68879,71958,68100,63447,65509,66305,64465,68026,66541,69869,68395,69967,68391,69533,68682,70735,72268,64376,72472,69898,69444
    New Zealand,12652,12662,13720,14094,11931,14110,13937,14446,14104,14240,12953,13581,14296,13782,14366,13368,12124,13282,13404,12968,13310,12931,13376,13540,12456,12996,13187,13506,12817,13012,12586,12384,12493,12121,11831,11235,11826,11235,10989,10579,10976,9752,9150,9279,8292,7350,6599,5225,3435,3113,1455,250,128,77,62,33,55,62,47,53,51,32,41,43,51,55,105,50,61,52,11,19,3,1,1,3229,9860,13560,13422,12373,12850,13303,12953,12665,12524,13037,14206,11708,11619,11767,11736,11345,11760,11541,11672,11910,11653,11268,11255,11547,10782,10741,10766,11966,11313,10274,10255,10725,10886,10455,12103,11925,11837,9881,10284,10562,10289,10334,10650,10040,9907,9953,9975,9257,9043,9791,10027,11236,11033,10902,11102,10401,10656,9909,9807,10963,10798,11268,10098,8910,8847,9575,9680,9977,9898,10733,9851,9443,11748,10499,10524,10040,10136,9913,9816,10382,9303,9972,9722,9733,9871,11107,10277,10407,10672,10213,9963,9780,10374,9874,10647,10574,10970,10658,10767,10394,9214,8730,10494,11092,11130,12483,12131,9917,7619,7783,7678,8632,7970,8296,8279,7747,8061,7685,7435,7897,8094,8300,7279,8965,8626,7788,7890,7757,7860,7460,7374,6870,7902,8214,8661,8492,9932,9050,9180,9330,8719,9449,9188,9534,9492,9818
    Africa,7786,7552,7531,7549,6633,7317,8326,8233,8792,6688,8217,8092,6549,6729,6589,6066,6016,6483,6831,6082,5608,6127,6050,5754,6373,7944,5035,6269,5601,5831,5330,5295,5521,5481,5313,5686,5313,5205,5388,5001,5053,4433,3841,4480,3951,3624,2538,2510,2504,1538,894,151,78,109,45,82,75,42,48,30,9,58,35,42,47,40,37,40,52,41,49,19,10,1,3,1591,4223,9601,9767,7604,7199,8173,7385,7308,7842,6847,6932,6920,6281,6477,7734,6169,6641,6495,7043,7770,6948,6151,6841,7405,6846,6669,6829,6758,6093,5937,6329,6266,6237,5994,6554,6081,6217,6625,6315,6556,6518,5883,5942,5778,5429,6122,5639,6510,5479,5615,5358,5496,6323,5786,5561,5551,5204,5744,5694,5452,5442,5620,5652,5659,4507,5299,5843,5796,5504,5329,5598,5189,6370,5113,5686,5139,5250,6304,5189,5277,6462,5635,4561,5997,5539,5574,5312,5690,5181,5695,5436,5487,6023,5619,5705,6121,6138,5923,5832,5714,6273,6013,5634,6977,6107,5750,6127,5793,5873,6825,6264,6188,6109,6325,6974,5885,5892,6325,6132,6207,6709,6370,6559,6632,6463,6156,6408,6698,6545,6282,5749,5827,6164,6521,6763,6884,7468,7429,8150,7452,7532,7304,7467,7964,7589,8353
